time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-23 15:25,traces/generated/5to10Traces/0150.trace,225,225,1,2,5,G(x0),0.7447169661,1,1,10,experiments/dtSubset10Strategy2/0150_tree.txt
2018-05-23 15:25,traces/generated/5to10Traces/0053.trace,16,100,4,3,10,"G(->(x1,G(!(x0))))",/,/,/,10,experiments/dtSubset10Strategy2/0053_tree.txt
2018-05-23 15:35,traces/generated/5to10Traces/0171.trace,200,200,2,3,10,"->(F(x1),U(x0,x1))",6.019691268,1,1,10,experiments/dtSubset10Strategy2/0171_tree.txt
2018-05-23 15:35,traces/generated/5to10Traces/0072.trace,75,75,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,/,10,experiments/dtSubset10Strategy2/0072_tree.txt
2018-05-23 15:45,traces/generated/5to10Traces/0011.trace,8,125,2,2,10,G(!(x0)),5.576310358,1,1,10,experiments/dtSubset10Strategy2/0011_tree.txt
2018-05-23 15:46,traces/generated/5to10Traces/0083.trace,200,34,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",126.651114227,2,1,10,experiments/dtSubset10Strategy2/0083_tree.txt
2018-05-23 15:48,traces/generated/5to10Traces/0180.trace,50,50,3,3,5,"G(->(x1,G(x0)))",18.464205662,1,1,10,experiments/dtSubset10Strategy2/0180_tree.txt
2018-05-23 15:48,traces/generated/5to10Traces/0112.trace,14,25,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.4752571639,1,1,10,experiments/dtSubset10Strategy2/0112_tree.txt
2018-05-23 15:48,traces/generated/5to10Traces/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",86.1030436971,2,1,10,experiments/dtSubset10Strategy2/0030_tree.txt
2018-05-23 15:49,traces/generated/5to10Traces/0167.trace,150,150,2,3,10,"->(F(x1),U(x0,x1))",10.5738875081,2,1,10,experiments/dtSubset10Strategy2/0167_tree.txt
2018-05-23 15:50,traces/generated/5to10Traces/0108.trace,250,250,1,2,5,F(x0),0.668159022,1,1,10,experiments/dtSubset10Strategy2/0108_tree.txt
2018-05-23 15:50,traces/generated/5to10Traces/0064.trace,250,250,4,3,5,"G(->(x1,G(!(x0))))",193.5704720949,2,1,10,experiments/dtSubset10Strategy2/0064_tree.txt
2018-05-23 15:53,traces/generated/5to10Traces/0099.trace,125,7,1,2,10,F(x0),1.2961582341,1,1,10,experiments/dtSubset10Strategy2/0099_tree.txt
2018-05-23 15:53,traces/generated/5to10Traces/0129.trace,1,225,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.3269101931,1,1,10,experiments/dtSubset10Strategy2/0129_tree.txt
2018-05-23 15:53,traces/generated/5to10Traces/0146.trace,175,175,1,2,5,G(x0),0.5740569341,1,1,10,experiments/dtSubset10Strategy2/0146_tree.txt
2018-05-23 15:53,traces/generated/5to10Traces/0045.trace,2,5,4,3,10,"G(->(x1,G(!(x0))))",45.6539715461,1,1,10,experiments/dtSubset10Strategy2/0045_tree.txt
2018-05-23 15:54,traces/generated/5to10Traces/0049.trace,12,50,4,3,10,"G(->(x1,G(!(x0))))",/,/,/,10,experiments/dtSubset10Strategy2/0049_tree.txt
2018-05-23 16:04,traces/generated/5to10Traces/0026.trace,50,50,3,3,5,"->(F(x1),U(!(x0),x1))",87.539208713,3,2,10,experiments/dtSubset10Strategy2/0026_tree.txt
2018-05-23 16:05,traces/generated/5to10Traces/0125.trace,1,175,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.3389250401,1,1,10,experiments/dtSubset10Strategy2/0125_tree.txt
2018-05-23 16:05,traces/generated/5to10Traces/0007.trace,7,75,2,2,10,G(!(x0)),5.8832294731,1,1,10,experiments/dtSubset10Strategy2/0007_tree.txt
2018-05-23 16:05,traces/generated/5to10Traces/0068.trace,25,25,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",28.8077223841,2,2,10,experiments/dtSubset10Strategy2/0068_tree.txt
2018-05-23 16:06,traces/generated/5to10Traces/0095.trace,75,6,1,2,10,F(x0),1.1044539909,1,1,10,experiments/dtSubset10Strategy2/0095_tree.txt
2018-05-23 16:06,traces/generated/5to10Traces/0196.trace,250,250,3,3,5,"G(->(x1,G(x0)))",37.281137865,2,1,10,experiments/dtSubset10Strategy2/0196_tree.txt
2018-05-23 16:06,traces/generated/5to10Traces/0104.trace,200,200,1,2,5,F(x0),0.768460334,1,1,10,experiments/dtSubset10Strategy2/0104_tree.txt
2018-05-23 16:06,traces/generated/5to10Traces/0052.trace,100,100,4,3,5,"G(->(x1,G(!(x0))))",80.8556569358,1,1,10,experiments/dtSubset10Strategy2/0052_tree.txt
2018-05-23 16:08,traces/generated/5to10Traces/0151.trace,13,225,1,2,10,G(x0),1.29331866,1,1,10,experiments/dtSubset10Strategy2/0151_tree.txt
2018-05-23 16:08,traces/generated/5to10Traces/0073.trace,75,13,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",110.0466778609,2,1,10,experiments/dtSubset10Strategy2/0073_tree.txt
2018-05-23 16:10,traces/generated/5to10Traces/0170.trace,200,200,2,3,5,"->(F(x1),U(x0,x1))",14.948525938,1,1,10,experiments/dtSubset10Strategy2/0170_tree.txt
2018-05-23 16:10,traces/generated/5to10Traces/0181.trace,13,50,3,3,10,"G(->(x1,G(x0)))",118.8310006252,2,2,10,experiments/dtSubset10Strategy2/0181_tree.txt
2018-05-23 16:12,traces/generated/5to10Traces/0010.trace,125,125,2,2,5,G(!(x0)),2.152553437,1,1,10,experiments/dtSubset10Strategy2/0010_tree.txt
2018-05-23 16:12,traces/generated/5to10Traces/0082.trace,200,200,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",146.1951899789,2,2,10,experiments/dtSubset10Strategy2/0082_tree.txt
