time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat
5/22/18 19:15,traces/generated/5to10twothree/0135.trace,2,25,1,2,10,G(x0),1.744313037,G(x0),
5/22/18 19:15,traces/generated/5to10twothree/0114.trace,37,50,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
5/22/18 19:25,traces/generated/5to10twothree/0085.trace,225,32,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600
5/22/18 19:35,traces/generated/5to10twothree/0118.trace,63,100,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
5/22/18 19:45,traces/generated/5to10twothree/0139.trace,3,75,1,2,10,G(x0),4.982700368,G(x0),
5/22/18 19:45,traces/generated/5to10twothree/0156.trace,25,25,2,3,5,"->(F(x1),U(x0,x1))",36.23891498,"->(F(U(x0,x1)),U(x0,x1))",
5/22/18 19:45,traces/generated/5to10twothree/0102.trace,175,175,1,2,5,F(x0),7.93596999,F(x0),
5/22/18 19:45,traces/generated/5to10twothree/0093.trace,50,3,1,2,10,F(x0),3.34505938,F(x0),
5/22/18 19:46,traces/generated/5to10twothree/0140.trace,100,100,1,2,5,G(x0),4.652313683,G(x0),
5/22/18 19:46,traces/generated/5to10twothree/0161.trace,75,75,2,3,10,"->(F(x1),U(x0,x1))",41.18905482,"U(x0,x1)",
5/22/18 19:46,traces/generated/5to10twothree/0134.trace,25,25,1,2,5,G(x0),1.315912111,G(x0),
5/22/18 19:46,traces/generated/5to10twothree/0084.trace,225,225,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600
5/22/18 19:56,traces/generated/5to10twothree/0119.trace,1,100,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",6.49187164,G(x0),
5/22/18 19:56,traces/generated/5to10twothree/0088.trace,5,5,1,2,5,F(x0),0.332488794,F(x0),
5/22/18 19:56,traces/generated/5to10twothree/0138.trace,75,75,1,2,5,G(x0),3.354947198,G(x0),
5/22/18 19:57,traces/generated/5to10twothree/0157.trace,25,25,2,3,10,"->(F(x1),U(x0,x1))",14.85928108,"U(x0,x1)",
5/22/18 19:57,traces/generated/5to10twothree/0092.trace,50,50,1,2,5,F(x0),2.164189417,F(x0),
5/22/18 19:57,traces/generated/5to10twothree/0103.trace,175,7,1,2,10,F(x0),10.22610444,F(x0),
5/22/18 19:57,traces/generated/5to10twothree/0122.trace,108,150,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
5/22/18 20:07,traces/generated/5to10twothree/0141.trace,7,100,1,2,10,G(x0),6.292305369,G(x0),
5/22/18 20:07,traces/generated/5to10twothree/0160.trace,75,75,2,3,5,"->(F(x1),U(x0,x1))",109.1952624,"U(x0,->(F(x1),x1))",
5/22/18 20:09,traces/generated/5to10twothree/0116.trace,57,75,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
