time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,solving time,specified formula,obtained formula,comment
2018-03-28 15:14,traces/generated/increasingNumVariables/0000.trace,15,15,3,3,5,46.635661498,"G(->(x1,G(x0)))","G(|(!(x1),G(x0)))",
2018-03-28 15:24,traces/generated/increasingNumVariables/0008.trace,15,15,3,4,5,61.945199962,"G(->(&(x1,x2),G(x0)))","G(->(&(x1,x2),G(x0)))",
2018-03-28 15:34,traces/generated/increasingNumVariables/0001.trace,20,20,3,3,5,65.332584072,"G(->(x1,G(x0)))","->(|(X(x0),U(x2,x1)),U(!(x1),G(x0)))",
2018-03-28 15:36,traces/generated/increasingNumVariables/0002.trace,25,25,3,3,5,77.774526573,"G(->(x1,G(x0)))","G(->(&(x1,x1),G(x0)))",
2018-03-28 15:37,traces/generated/increasingNumVariables/0009.trace,20,20,3,4,5,87.218631973,"G(->(&(x1,x2),G(x0)))","G(->(&(x2,x1),G(x0)))",
2018-03-28 15:40,traces/generated/increasingNumVariables/0003.trace,30,30,3,3,5,99.562917385,"G(->(x1,G(x0)))","|(->(F(x1),G(x0)),U(->(x1,x2),G(x0)))",
2018-03-28 15:41,traces/generated/increasingNumVariables/0010.trace,25,25,3,4,5,113.792800168,"G(->(&(x1,x2),G(x0)))","->(U(->(x3,x3),&(x1,x2)),U(F(x2),G(x0)))",
2018-03-28 15:43,traces/generated/increasingNumVariables/0004.trace,35,35,3,3,5,115.613659444,"G(->(x1,G(x0)))","->(F(|(x1,x1)),U(->(x1,x0),G(x0)))",
2018-03-28 15:53,traces/generated/increasingNumVariables/0005.trace,40,40,3,3,5,132.75819859,"G(->(x1,G(x0)))","U(->(|(x1,x1),|(x0,x0)),->(F(x1),G(x0)))",
2018-03-28 16:03,traces/generated/increasingNumVariables/0011.trace,30,30,3,4,5,136.623496276,"G(->(&(x1,x2),G(x0)))","->(F(&(x2,x1)),G(x0))",
2018-03-28 16:06,traces/generated/increasingNumVariables/0012.trace,35,35,3,4,5,148.31364161,"G(->(&(x1,x2),G(x0)))","G(->(&(x1,x2),G(x0)))",
2018-03-28 16:16,traces/generated/increasingNumVariables/0006.trace,45,45,3,3,5,154.542505382,"G(->(x1,G(x0)))","|(U(!(x1),G(x0)),->(F(x1),G(x0)))",
2018-03-28 16:26,traces/generated/increasingNumVariables/0007.trace,50,50,3,3,5,165.39400457,"G(->(x1,G(x0)))","G(->(U(x1,x1),G(x0)))",
2018-03-28 16:36,traces/generated/increasingNumVariables/0013.trace,40,40,3,4,5,176.284511327,"G(->(&(x1,x2),G(x0)))","G(->(&(x2,x1),G(x0)))",
2018-03-28 16:46,traces/generated/increasingNumVariables/0014.trace,45,45,3,4,5,211.831351541,"G(->(&(x1,x2),G(x0)))","G(->(&(x2,x1),G(x0)))",
2018-03-28 16:56,traces/generated/increasingNumVariables/0015.trace,50,50,3,4,5,226.812692828,"G(->(&(x1,x2),G(x0)))","->(F(&(x1,x2)),U(->(x2,x3),G(x0)))",
2018-03-28 17:06,traces/generated/increasingNumVariables/0016.trace,15,15,4,5,5,80.379813427,"G(->(&(&(x1,x2),x3),G(x0)))","G(->(&(x2,x3),!(x1)))",
2018-03-28 17:10,traces/generated/increasingNumVariables/0017.trace,20,20,4,5,5,322.368372919,"G(->(&(&(x1,x2),x3),G(x0)))","G(|(U(U(x4,x4),G(x0)),->(&(x3,x1),!(x2))))",
2018-03-28 17:20,traces/generated/increasingNumVariables/0018.trace,25,25,4,5,5,375.944946981,"G(->(&(&(x1,x2),x3),G(x0)))","G(->(->(|(x0,x2),&(x1,x3)),U(G(x0),!(x2))))",
2018-03-28 17:30,traces/generated/increasingNumVariables/0022.trace,45,45,4,5,5,/,"G(->(&(&(x1,x2),x3),G(x0)))",/,timeout
2018-03-28 17:32,traces/generated/increasingNumVariables/0019.trace,30,30,4,5,5,/,"G(->(&(&(x1,x2),x3),G(x0)))",/,timeout
2018-03-28 17:34,traces/generated/increasingNumVariables/0020.trace,35,35,4,5,5,/,"G(->(&(&(x1,x2),x3),G(x0)))",/,timeout
2018-03-28 17:44,traces/generated/increasingNumVariables/0023.trace,50,50,4,5,5,/,"G(->(&(&(x1,x2),x3),G(x0)))",/,timeout
2018-03-28 17:53,traces/generated/increasingNumVariables/0021.trace,40,40,4,5,5,/,"G(->(&(&(x1,x2),x3),G(x0)))",/,timeout
2018-03-28 17:57,traces/generated/increasingNumVariables/0025.trace,20,20,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 18:07,traces/generated/increasingNumVariables/0029.trace,40,40,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 18:17,traces/generated/increasingNumVariables/0031.trace,50,50,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 18:27,traces/generated/increasingNumVariables/0028.trace,35,35,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 18:37,traces/generated/increasingNumVariables/0026.trace,25,25,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 18:47,traces/generated/increasingNumVariables/0027.trace,30,30,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 18:50,traces/generated/increasingNumVariables/0030.trace,45,45,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 18:52,traces/generated/increasingNumVariables/0024.trace,15,15,5,6,5,/,"G(->(&(&(&(x1,x2),x3),x4),G(x0)))",/,timeout
2018-03-28 19:02,traces/generated/increasingNumVariables/0033.trace,20,20,6,7,5,486.523398438,"G(->(&(&(&(&(x1,x2),x3),x4),x5),G(x0)))","G(U(->(&(x4,x2),!(x5)),->(x1,!(x3))))",
