time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-24 08:56,traces/generated/5to10Traces/0150.trace,225,225,1,2,5,G(x0),0.43457171181216836,1,1,3,experiments/dtSubset3Repetitions2/0150_tree.txt
2018-05-24 08:56,traces/generated/5to10Traces/0053.trace,16,100,4,3,10,"G(->(x1,G(!(x0))))",42.12771576968953,10,5,3,experiments/dtSubset3Repetitions2/0053_tree.txt
2018-05-24 08:57,traces/generated/5to10Traces/0171.trace,200,200,2,3,10,"->(F(x1),U(x0,x1))",2.1265729586593807,1,1,3,experiments/dtSubset3Repetitions2/0171_tree.txt
2018-05-24 08:57,traces/generated/5to10Traces/0072.trace,75,75,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",3.7723862128332257,6,4,3,experiments/dtSubset3Repetitions2/0072_tree.txt
2018-05-24 08:57,traces/generated/5to10Traces/0011.trace,8,125,2,2,10,G(!(x0)),1.6345390561036766,1,1,3,experiments/dtSubset3Repetitions2/0011_tree.txt
2018-05-24 08:57,traces/generated/5to10Traces/0083.trace,200,34,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",126.08464586501941,21,6,3,experiments/dtSubset3Repetitions2/0083_tree.txt
2018-05-24 08:59,traces/generated/5to10Traces/0180.trace,50,50,3,3,5,"G(->(x1,G(x0)))",9.109827765263617,3,1,3,experiments/dtSubset3Repetitions2/0180_tree.txt
2018-05-24 08:59,traces/generated/5to10Traces/0112.trace,14,25,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.21194413537159562,1,1,3,experiments/dtSubset3Repetitions2/0112_tree.txt
2018-05-24 08:59,traces/generated/5to10Traces/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",17.330054034944624,15,2,3,experiments/dtSubset3Repetitions2/0030_tree.txt
2018-05-24 08:59,traces/generated/5to10Traces/0167.trace,150,150,2,3,10,"->(F(x1),U(x0,x1))",7.568934528157115,5,1,3,experiments/dtSubset3Repetitions2/0167_tree.txt
2018-05-24 09:00,traces/generated/5to10Traces/0108.trace,250,250,1,2,5,F(x0),0.4346596719697118,1,1,3,experiments/dtSubset3Repetitions2/0108_tree.txt
2018-05-24 09:00,traces/generated/5to10Traces/0064.trace,250,250,4,3,5,"G(->(x1,G(!(x0))))",100.99972699815407,36,6,3,experiments/dtSubset3Repetitions2/0064_tree.txt
2018-05-24 09:01,traces/generated/5to10Traces/0099.trace,125,7,1,2,10,F(x0),0.3818301120772958,1,1,3,experiments/dtSubset3Repetitions2/0099_tree.txt
2018-05-24 09:01,traces/generated/5to10Traces/0129.trace,1,225,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.32743709860369563,1,1,3,experiments/dtSubset3Repetitions2/0129_tree.txt
2018-05-24 09:01,traces/generated/5to10Traces/0146.trace,175,175,1,2,5,G(x0),0.2612099200487137,1,1,3,experiments/dtSubset3Repetitions2/0146_tree.txt
2018-05-24 09:01,traces/generated/5to10Traces/0045.trace,2,5,4,3,10,"G(->(x1,G(!(x0))))",7.163074486888945,6,4,3,experiments/dtSubset3Repetitions2/0045_tree.txt
2018-05-24 09:01,traces/generated/5to10Traces/0049.trace,12,50,4,3,10,"G(->(x1,G(!(x0))))",61.40440380573273,11,9,3,experiments/dtSubset3Repetitions2/0049_tree.txt
2018-05-24 09:02,traces/generated/5to10Traces/0026.trace,50,50,3,3,5,"->(F(x1),U(!(x0),x1))",14.297525929287076,13,2,3,experiments/dtSubset3Repetitions2/0026_tree.txt
2018-05-24 09:03,traces/generated/5to10Traces/0125.trace,1,175,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.34758546808734536,1,1,3,experiments/dtSubset3Repetitions2/0125_tree.txt
2018-05-24 09:03,traces/generated/5to10Traces/0007.trace,7,75,2,2,10,G(!(x0)),2.0766714732162654,2,2,3,experiments/dtSubset3Repetitions2/0007_tree.txt
2018-05-24 09:03,traces/generated/5to10Traces/0068.trace,25,25,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",16.634712629020214,12,2,3,experiments/dtSubset3Repetitions2/0068_tree.txt
2018-05-24 09:03,traces/generated/5to10Traces/0095.trace,75,6,1,2,10,F(x0),0.4412272283807397,1,1,3,experiments/dtSubset3Repetitions2/0095_tree.txt
2018-05-24 09:03,traces/generated/5to10Traces/0196.trace,250,250,3,3,5,"G(->(x1,G(x0)))",24.59674877068028,16,7,3,experiments/dtSubset3Repetitions2/0196_tree.txt
2018-05-24 09:03,traces/generated/5to10Traces/0104.trace,200,200,1,2,5,F(x0),0.4112147889100015,1,1,3,experiments/dtSubset3Repetitions2/0104_tree.txt
2018-05-24 09:03,traces/generated/5to10Traces/0052.trace,100,100,4,3,5,"G(->(x1,G(!(x0))))",62.21758364699781,30,9,3,experiments/dtSubset3Repetitions2/0052_tree.txt
2018-05-24 09:05,traces/generated/5to10Traces/0151.trace,13,225,1,2,10,G(x0),0.3894044798798859,1,1,3,experiments/dtSubset3Repetitions2/0151_tree.txt
2018-05-24 09:05,traces/generated/5to10Traces/0073.trace,75,13,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",9.155226768925786,3,2,3,experiments/dtSubset3Repetitions2/0073_tree.txt
2018-05-24 09:05,traces/generated/5to10Traces/0170.trace,200,200,2,3,5,"->(F(x1),U(x0,x1))",4.02546476200223,4,2,3,experiments/dtSubset3Repetitions2/0170_tree.txt
2018-05-24 09:05,traces/generated/5to10Traces/0181.trace,13,50,3,3,10,"G(->(x1,G(x0)))",52.534860307816416,8,3,3,experiments/dtSubset3Repetitions2/0181_tree.txt
2018-05-24 09:06,traces/generated/5to10Traces/0010.trace,125,125,2,2,5,G(!(x0)),0.7159155770204961,1,1,3,experiments/dtSubset3Repetitions2/0010_tree.txt
2018-05-24 09:06,traces/generated/5to10Traces/0082.trace,200,200,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",6.011292655020952,5,4,3,experiments/dtSubset3Repetitions2/0082_tree.txt
2018-05-24 09:06,traces/generated/5to10Traces/0132.trace,5,5,1,2,5,G(x0),0.17142195906490088,2,2,3,experiments/dtSubset3Repetitions2/0132_tree.txt
2018-05-24 09:06,traces/generated/5to10Traces/0031.trace,100,100,3,3,10,"->(F(x1),U(!(x0),x1))",25.242367445025593,10,1,3,experiments/dtSubset3Repetitions2/0031_tree.txt
2018-05-24 09:06,traces/generated/5to10Traces/0098.trace,125,125,1,2,5,F(x0),0.21694150008261204,1,1,3,experiments/dtSubset3Repetitions2/0098_tree.txt
2018-05-24 09:06,traces/generated/5to10Traces/0065.trace,46,250,4,3,10,"G(->(x1,G(!(x0))))",100.06417732080445,12,9,3,experiments/dtSubset3Repetitions2/0065_tree.txt
2018-05-24 09:08,traces/generated/5to10Traces/0166.trace,150,150,2,3,5,"->(F(x1),U(x0,x1))",15.708495548926294,15,2,3,experiments/dtSubset3Repetitions2/0166_tree.txt
2018-05-24 09:08,traces/generated/5to10Traces/0109.trace,250,17,1,2,10,F(x0),0.3976308931596577,1,1,3,experiments/dtSubset3Repetitions2/0109_tree.txt
2018-05-24 09:08,traces/generated/5to10Traces/0044.trace,5,5,4,3,5,"G(->(x1,G(!(x0))))",0.8417828823439777,2,2,3,experiments/dtSubset3Repetitions2/0044_tree.txt
2018-05-24 09:08,traces/generated/5to10Traces/0128.trace,163,225,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",71.31934664677829,20,6,3,experiments/dtSubset3Repetitions2/0128_tree.txt
2018-05-24 09:09,traces/generated/5to10Traces/0147.trace,12,175,1,2,10,G(x0),0.4702720888890326,1,1,3,experiments/dtSubset3Repetitions2/0147_tree.txt
2018-05-24 09:09,traces/generated/5to10Traces/0124.trace,104,175,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",43.36347668617964,17,8,3,experiments/dtSubset3Repetitions2/0124_tree.txt
2018-05-24 09:10,traces/generated/5to10Traces/0048.trace,50,50,4,3,5,"G(->(x1,G(!(x0))))",87.58849873626605,40,6,3,experiments/dtSubset3Repetitions2/0048_tree.txt
2018-05-24 09:12,traces/generated/5to10Traces/0027.trace,50,50,3,3,10,"->(F(x1),U(!(x0),x1))",6.352834760211408,3,1,3,experiments/dtSubset3Repetitions2/0027_tree.txt
