time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-23 15:15,traces/generated/5to10Traces/0150.trace,225,225,1,2,5,G(x0),0.7399511709809303,2,1,3,experiments/dtSubset3Repetitions8/0150_tree.txt
2018-05-23 15:15,traces/generated/5to10Traces/0053.trace,16,100,4,3,10,"G(->(x1,G(!(x0))))",101.73521536588669,18,3,3,experiments/dtSubset3Repetitions8/0053_tree.txt
2018-05-23 15:17,traces/generated/5to10Traces/0171.trace,200,200,2,3,10,"->(F(x1),U(x0,x1))",2.1627574004232883,2,1,3,experiments/dtSubset3Repetitions8/0171_tree.txt
2018-05-23 15:17,traces/generated/5to10Traces/0072.trace,75,75,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",10.389432828873396,14,4,3,experiments/dtSubset3Repetitions8/0072_tree.txt
2018-05-23 15:17,traces/generated/5to10Traces/0011.trace,8,125,2,2,10,G(!(x0)),2.089453972876072,2,1,3,experiments/dtSubset3Repetitions8/0011_tree.txt
2018-05-23 15:17,traces/generated/5to10Traces/0083.trace,200,34,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",51.701543875038624,17,6,3,experiments/dtSubset3Repetitions8/0083_tree.txt
2018-05-23 15:18,traces/generated/5to10Traces/0180.trace,50,50,3,3,5,"G(->(x1,G(x0)))",18.96000086143613,11,1,3,experiments/dtSubset3Repetitions8/0180_tree.txt
2018-05-23 15:18,traces/generated/5to10Traces/0112.trace,14,25,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.24495140463113785,1,1,3,experiments/dtSubset3Repetitions8/0112_tree.txt
2018-05-23 15:18,traces/generated/5to10Traces/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",12.43849005177617,10,2,3,experiments/dtSubset3Repetitions8/0030_tree.txt
2018-05-23 15:18,traces/generated/5to10Traces/0167.trace,150,150,2,3,10,"->(F(x1),U(x0,x1))",3.8211916349828243,3,1,3,experiments/dtSubset3Repetitions8/0167_tree.txt
