time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat
5/22/18 19:14,traces/generated/5to10OneThree/0029.trace,75,75,3,3,10,"->(F(x1),U(!(x0),x1))",130.7701903,"U(!(x0),x1)",
5/22/18 19:19,traces/generated/5to10OneThree/0025.trace,25,25,3,3,10,"->(F(x1),U(!(x0),x1))",42.44848162,"U(!(x0),x1)",
5/22/18 19:33,traces/generated/5to10OneThree/0033.trace,125,125,3,3,10,"->(F(x1),U(!(x0),x1))",209.9510419,"U(->(x0,x1),x1)",
5/22/18 19:37,traces/generated/5to10OneThree/0028.trace,75,75,3,3,5,"->(F(x1),U(!(x0),x1))",483.59438,"U(->(x0,x1),->(F(x1),x1))",
5/22/18 19:50,traces/generated/5to10OneThree/0024.trace,25,25,3,3,5,"->(F(x1),U(!(x0),x1))",108.6956572,"U(->(x0,G(x0)),|(x1,G(x0)))",
5/22/18 20:12,traces/generated/5to10OneThree/0032.trace,125,125,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600
5/22/18 20:43,traces/generated/5to10OneThree/0027.trace,50,50,3,3,10,"->(F(x1),U(!(x0),x1))",86.11942547,"U(!(x0),x1)",
5/22/18 20:58,traces/generated/5to10OneThree/0031.trace,100,100,3,3,10,"->(F(x1),U(!(x0),x1))",170.0726865,"U(->(x0,x1),x1)",
5/22/18 21:32,traces/generated/5to10OneThree/0026.trace,50,50,3,3,5,"->(F(x1),U(!(x0),x1))",257.9624108,"U(->(x0,x1),->(F(x1),x1))",
5/22/18 21:56,traces/generated/5to10OneThree/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600
5/22/18 22:18,traces/generated/5to10OneThree/0042.trace,250,250,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600
5/22/18 22:49,traces/generated/5to10OneThree/0037.trace,175,175,3,3,10,"->(F(x1),U(!(x0),x1))",295.0637203,"U(!(x0),x1)",
5/22/18 23:20,traces/generated/5to10OneThree/0043.trace,250,250,3,3,10,"->(F(x1),U(!(x0),x1))",439.2928944,"U(!(x0),x1)",
5/22/18 23:48,traces/generated/5to10OneThree/0036.trace,175,175,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600
5/23/18 0:18,traces/generated/5to10OneThree/0023.trace,5,5,3,3,10,"->(F(x1),U(!(x0),x1))",8.335977447,"U(->(x0,x1),x1)",
5/23/18 0:18,traces/generated/5to10OneThree/0040.trace,225,225,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600
