time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-20 23:34,traces/generated/freshTests/0070.trace,50,50,4,3,5,"G(->(x1,G(!(x0))))",/,/,/,10,experiments/dtStrategy1Subset10/0070_tree.txt
2018-05-20 23:44,traces/generated/freshTests/0173.trace,8,100,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",7.856279922649264,1,1,10,experiments/dtStrategy1Subset10/0173_tree.txt
2018-05-20 23:44,traces/generated/freshTests/0257.trace,400,400,2,3,8,"->(F(x1),U(x0,x1))",92.22266169451177,5,1,10,experiments/dtStrategy1Subset10/0257_tree.txt
2018-05-20 23:45,traces/generated/freshTests/0238.trace,100,100,2,3,5,"->(F(x1),U(x0,x1))",92.07867856882513,4,1,10,experiments/dtStrategy1Subset10/0238_tree.txt
2018-05-20 23:47,traces/generated/freshTests/0051.trace,300,300,3,3,3,"->(F(x1),U(!(x0),x1))",180.9235476925969,8,1,10,experiments/dtStrategy1Subset10/0051_tree.txt
2018-05-20 23:50,traces/generated/freshTests/0219.trace,350,350,1,2,3,G(x0),10.326773384585977,1,1,10,experiments/dtStrategy1Subset10/0219_tree.txt
2018-05-20 23:50,traces/generated/freshTests/0152.trace,300,67,1,2,8,F(x0),8.965391043573618,1,1,10,experiments/dtStrategy1Subset10/0152_tree.txt
2018-05-20 23:50,traces/generated/freshTests/0276.trace,200,200,3,3,3,"G(->(x1,G(x0)))",87.64158215932548,5,1,10,experiments/dtStrategy1Subset10/0276_tree.txt
2018-05-20 23:52,traces/generated/freshTests/0215.trace,50,250,1,2,8,G(x0),8.820354854688048,1,1,10,experiments/dtStrategy1Subset10/0215_tree.txt
2018-05-20 23:52,traces/generated/freshTests/0131.trace,500,271,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",548.7915541063994,6,2,10,experiments/dtStrategy1Subset10/0131_tree.txt
2018-05-21 00:01,traces/generated/freshTests/0287.trace,235,350,3,3,8,"G(->(x1,G(x0)))",239.94324077293277,3,1,10,experiments/dtStrategy1Subset10/0287_tree.txt
2018-05-21 00:05,traces/generated/freshTests/0032.trace,109,500,2,2,8,G(!(x0)),38.92437790334225,2,1,10,experiments/dtStrategy1Subset10/0032_tree.txt
2018-05-21 00:06,traces/generated/freshTests/0182.trace,9,250,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",8.144425351172686,1,1,10,experiments/dtStrategy1Subset10/0182_tree.txt
2018-05-21 00:06,traces/generated/freshTests/0234.trace,50,50,2,3,3,"->(F(x1),U(x0,x1))",76.69204504974186,3,1,10,experiments/dtStrategy1Subset10/0234_tree.txt
2018-05-21 00:07,traces/generated/freshTests/0110.trace,150,80,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",198.15588753670454,6,1,10,experiments/dtStrategy1Subset10/0110_tree.txt
2018-05-21 00:10,traces/generated/freshTests/0013.trace,200,200,2,2,5,G(!(x0)),20.50838429480791,2,1,10,experiments/dtStrategy1Subset10/0013_tree.txt
2018-05-21 00:11,traces/generated/freshTests/0081.trace,250,250,4,3,3,"G(->(x1,G(!(x0))))",220.41379526257515,7,1,10,experiments/dtStrategy1Subset10/0081_tree.txt
2018-05-21 00:14,traces/generated/freshTests/0047.trace,200,200,3,3,8,"->(F(x1),U(!(x0),x1))",/,/,/,10,experiments/dtStrategy1Subset10/0047_tree.txt
2018-05-21 00:24,traces/generated/freshTests/0028.trace,450,450,2,2,5,G(!(x0)),34.6559289470315,2,1,10,experiments/dtStrategy1Subset10/0028_tree.txt
2018-05-21 00:25,traces/generated/freshTests/0260.trace,450,450,2,3,8,"->(F(x1),U(x0,x1))",135.41852089948952,2,1,10,experiments/dtStrategy1Subset10/0260_tree.txt
2018-05-21 00:27,traces/generated/freshTests/0144.trace,200,200,1,2,3,F(x0),5.339186253026128,1,1,10,experiments/dtStrategy1Subset10/0144_tree.txt
2018-05-21 00:27,traces/generated/freshTests/0009.trace,150,150,2,2,3,G(!(x0)),12.10594267770648,2,1,10,experiments/dtStrategy1Subset10/0009_tree.txt
2018-05-21 00:27,traces/generated/freshTests/0066.trace,5,5,4,3,3,"G(->(x1,G(!(x0))))",12.772032417356968,7,1,10,experiments/dtStrategy1Subset10/0066_tree.txt
2018-05-21 00:28,traces/generated/freshTests/0241.trace,150,150,2,3,5,"->(F(x1),U(x0,x1))",69.36932603828609,6,1,10,experiments/dtStrategy1Subset10/0241_tree.txt
2018-05-21 00:29,traces/generated/freshTests/0165.trace,5,5,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.906863758340478,2,1,10,experiments/dtStrategy1Subset10/0165_tree.txt
2018-05-21 00:29,traces/generated/freshTests/0198.trace,5,5,1,2,3,G(x0),1.4576159231364727,1,1,10,experiments/dtStrategy1Subset10/0198_tree.txt
2018-05-21 00:29,traces/generated/freshTests/0169.trace,33,50,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy1Subset10/0169_tree.txt
2018-05-21 00:39,traces/generated/freshTests/0194.trace,17,450,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy1Subset10/0194_tree.txt
