time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat,,,
5/23/2018 1:05,traces/generated/5to10OneThree/0022.trace,5,5,3,3,5,"->(F(x1),U(!(x0),x1))",1.078799113,"|(x1,X(x1))",,50,1.078799113,"(50,1.078799113)"
5/22/2018 19:50,traces/generated/5to10OneThree/0024.trace,25,25,3,3,5,"->(F(x1),U(!(x0),x1))",108.6956572,"U(->(x0,G(x0)),|(x1,G(x0)))",,250,108.6956572,"(250,108.6956572)"
5/22/2018 21:32,traces/generated/5to10OneThree/0026.trace,50,50,3,3,5,"->(F(x1),U(!(x0),x1))",257.9624108,"U(->(x0,x1),->(F(x1),x1))",,500,257.9624108,"(500,257.9624108)"
5/22/2018 19:37,traces/generated/5to10OneThree/0028.trace,75,75,3,3,5,"->(F(x1),U(!(x0),x1))",483.59438,"U(->(x0,x1),->(F(x1),x1))",,750,483.59438,"(750,483.59438)"
5/22/2018 21:56,traces/generated/5to10OneThree/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1000,600,"(1000,600)"
5/22/2018 20:12,traces/generated/5to10OneThree/0032.trace,125,125,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1250,600,"(1250,600)"
5/23/2018 1:22,traces/generated/5to10OneThree/0034.trace,150,150,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1500,600,"(1500,600)"
5/22/2018 23:48,traces/generated/5to10OneThree/0036.trace,175,175,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1750,600,"(1750,600)"
5/23/2018 1:44,traces/generated/5to10OneThree/0038.trace,200,200,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,2000,600,"(2000,600)"
5/23/2018 0:18,traces/generated/5to10OneThree/0040.trace,225,225,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,2250,600,"(2250,600)"
5/22/2018 22:18,traces/generated/5to10OneThree/0042.trace,250,250,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,2500,600,"(2500,600)"
5/23/2018 0:18,traces/generated/5to10OneThree/0023.trace,5,5,3,3,10,"->(F(x1),U(!(x0),x1))",8.335977447,"U(->(x0,x1),x1)",,100,8.335977447,"(100,8.335977447)"
5/22/2018 19:19,traces/generated/5to10OneThree/0025.trace,25,25,3,3,10,"->(F(x1),U(!(x0),x1))",42.44848162,"U(!(x0),x1)",,500,42.44848162,"(500,42.44848162)"
5/22/2018 20:43,traces/generated/5to10OneThree/0027.trace,50,50,3,3,10,"->(F(x1),U(!(x0),x1))",86.11942547,"U(!(x0),x1)",,1000,86.11942547,"(1000,86.11942547)"
5/22/2018 19:14,traces/generated/5to10OneThree/0029.trace,75,75,3,3,10,"->(F(x1),U(!(x0),x1))",130.7701903,"U(!(x0),x1)",,1500,130.7701903,"(1500,130.7701903)"
5/22/2018 20:58,traces/generated/5to10OneThree/0031.trace,100,100,3,3,10,"->(F(x1),U(!(x0),x1))",170.0726865,"U(->(x0,x1),x1)",,2000,170.0726865,"(2000,170.0726865)"
5/22/2018 19:33,traces/generated/5to10OneThree/0033.trace,125,125,3,3,10,"->(F(x1),U(!(x0),x1))",209.9510419,"U(->(x0,x1),x1)",,2500,209.9510419,"(2500,209.9510419)"
5/23/2018 0:38,traces/generated/5to10OneThree/0035.trace,150,150,3,3,10,"->(F(x1),U(!(x0),x1))",244.0311845,"U(!(x0),x1)",,3000,244.0311845,"(3000,244.0311845)"
5/22/2018 22:49,traces/generated/5to10OneThree/0037.trace,175,175,3,3,10,"->(F(x1),U(!(x0),x1))",295.0637203,"U(!(x0),x1)",,3500,295.0637203,"(3500,295.0637203)"
5/23/2018 0:49,traces/generated/5to10OneThree/0039.trace,200,200,3,3,10,"->(F(x1),U(!(x0),x1))",356.8050514,"U(!(x0),x1)",,4000,356.8050514,"(4000,356.8050514)"
5/23/2018 1:05,traces/generated/5to10OneThree/0041.trace,225,225,3,3,10,"->(F(x1),U(!(x0),x1))",395.5378082,"U(!(x0),x1)",,4500,395.5378082,"(4500,395.5378082)"
5/22/2018 23:20,traces/generated/5to10OneThree/0043.trace,250,250,3,3,10,"->(F(x1),U(!(x0),x1))",439.2928944,"U(!(x0),x1)",,5000,439.2928944,"(5000,439.2928944)"
5/22/2018 20:30,traces/generated/5to10twothree/0154.trace,5,5,2,3,5,"->(F(x1),U(x0,x1))",1.255856369,"U(x0,x1)",,50,1.255856369,"(50,1.255856369)"
5/22/2018 19:45,traces/generated/5to10twothree/0156.trace,25,25,2,3,5,"->(F(x1),U(x0,x1))",36.23891498,"->(F(U(x0,x1)),U(x0,x1))",,250,36.23891498,"(250,36.23891498)"
5/22/2018 20:29,traces/generated/5to10twothree/0158.trace,50,50,2,3,5,"->(F(x1),U(x0,x1))",76.04130768,"U(x0,->(F(x1),x1))",,500,76.04130768,"(500,76.04130768)"
5/22/2018 20:07,traces/generated/5to10twothree/0160.trace,75,75,2,3,5,"->(F(x1),U(x0,x1))",109.1952624,"U(x0,->(F(x1),x1))",,750,109.1952624,"(750,109.1952624)"
5/22/2018 20:44,traces/generated/5to10twothree/0162.trace,100,100,2,3,5,"->(F(x1),U(x0,x1))",144.087493,"U(x0,->(F(x1),x1))",,1000,144.087493,"(1000,144.087493)"
5/22/2018 21:26,traces/generated/5to10twothree/0164.trace,125,125,2,3,5,"->(F(x1),U(x0,x1))",242.1691443,"->(F(x1),U(x0,x1))",,1250,242.1691443,"(1250,242.1691443)"
5/22/2018 21:23,traces/generated/5to10threethree/0166.trace,150,150,2,3,5,"->(F(x1),U(x0,x1))",246.8896494131,"U(x0,->(F(x1),x1))",,1500,246.8896494131,"(1500,246.88964941306)"
5/22/2018 20:44,traces/generated/5to10threethree/0168.trace,175,175,2,3,5,"->(F(x1),U(x0,x1))",284.1370065792,"->(F(x1),U(x0,x1))",,1750,284.1370065792,"(1750,284.137006579199)"
5/22/2018 21:37,traces/generated/5to10threethree/0170.trace,200,200,2,3,5,"->(F(x1),U(x0,x1))",353.6830849079,"U(x0,->(F(x1),x1))",,2000,353.6830849079,"(2000,353.683084907941)"
5/22/2018 20:49,traces/generated/5to10threethree/0172.trace,225,225,2,3,5,"->(F(x1),U(x0,x1))",438.9435834659,"U(x0,->(F(x1),x1))",,2250,438.9435834659,"(2250,438.943583465879)"
5/22/2018 19:56,traces/generated/5to10threethree/0174.trace,250,250,2,3,5,"->(F(x1),U(x0,x1))",440.83606087,"->(F(x1),U(x0,x1))",,2500,440.83606087,"(2500,440.836060869973)"
5/22/2018 20:43,traces/generated/5to10twothree/0155.trace,5,5,2,3,10,"->(F(x1),U(x0,x1))",0.092348769,x1,,100,0.092348769,"(100,0.092348769)"
5/22/2018 19:57,traces/generated/5to10twothree/0157.trace,25,25,2,3,10,"->(F(x1),U(x0,x1))",14.85928108,"U(x0,x1)",,500,14.85928108,"(500,14.85928108)"
5/22/2018 20:43,traces/generated/5to10twothree/0159.trace,50,50,2,3,10,"->(F(x1),U(x0,x1))",28.43727728,"U(x0,x1)",,1000,28.43727728,"(1000,28.43727728)"
5/22/2018 19:46,traces/generated/5to10twothree/0161.trace,75,75,2,3,10,"->(F(x1),U(x0,x1))",41.18905482,"U(x0,x1)",,1500,41.18905482,"(1500,41.18905482)"
5/22/2018 20:31,traces/generated/5to10twothree/0163.trace,100,100,2,3,10,"->(F(x1),U(x0,x1))",56.73567641,"U(x0,x1)",,2000,56.73567641,"(2000,56.73567641)"
5/22/2018 21:01,traces/generated/5to10threethree/0165.trace,125,125,2,3,10,"->(F(x1),U(x0,x1))",68.4503090449,"U(x0,x1)",,2500,68.4503090449,"(2500,68.4503090449143)"
5/22/2018 21:46,traces/generated/5to10threethree/0167.trace,150,150,2,3,10,"->(F(x1),U(x0,x1))",83.0684280919,"U(x0,x1)",,3000,83.0684280919,"(3000,83.0684280919376)"
5/22/2018 21:02,traces/generated/5to10threethree/0169.trace,175,175,2,3,10,"->(F(x1),U(x0,x1))",97.594743459,"U(x0,x1)",,3500,97.594743459,"(3500,97.5947434590198)"
5/22/2018 21:56,traces/generated/5to10threethree/0171.trace,200,200,2,3,10,"->(F(x1),U(x0,x1))",110.83159149,"U(x0,x1)",,4000,110.83159149,"(4000,110.831591489957)"
5/22/2018 21:11,traces/generated/5to10threethree/0173.trace,225,225,2,3,10,"->(F(x1),U(x0,x1))",/,/,,4500,600,"(4500,600)"
5/22/2018 20:32,traces/generated/5to10threethree/0175.trace,250,250,2,3,10,"->(F(x1),U(x0,x1))",139.1142325189,"U(x0,x1)",,5000,139.1142325189,"(5000,139.114232518943)"
5/22/2018 19:36,traces/generated/5to10OneThree/0066.trace,5,5,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",0.363187034,F(x1),,50,0.363187034,"(50,0.363187034)"
5/22/2018 21:12,traces/generated/5to10OneThree/0068.trace,25,25,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,250,600,"(250,600)"
5/22/2018 20:02,traces/generated/5to10OneThree/0070.trace,50,50,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,500,600,"(500,600)"
5/22/2018 21:36,traces/generated/5to10OneThree/0072.trace,75,75,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,750,600,"(750,600)"
5/23/2018 0:08,traces/generated/5to10OneThree/0074.trace,100,100,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,1000,600,"(1000,600)"
